compound,time,sex,sweetener,imp,,
CA,0.000000000168,0.587000000000,0.132000000000,Original,,
CA-G,0.032000000000,0.037000000000,0.702000000000,Original,,
Total CA,0.000000044700,0.067000000000,0.345000000000,Original,,
DHPAA,0.000000155000,0.008000000000,0.866000000000,Original,,
DPHAA-G,0.000000528000,0.065000000000,0.000145000000,Original,,
DHPAA-GG,0.000006520000,0.339000000000,0.000028700000,Original,,
DPHAA-GS,0.000041900000,0.005000000000,0.001000000000,Original,,
DHPAA-SS,0.125000000000,0.098000000000,0.517000000000,Original,,
Total DHPAA,0.000000000001,0.004000000000,0.082000000000,Original,,
TFA-G,0.109000000000,0.859000000000,0.774000000000,Original,,
TFA-S,0.097000000000,0.438000000000,0.809000000000,Original,,
Total TFA,0.050000000000,0.308000000000,0.833000000000,Original,,
VA-GG,0.000000000000,0.835000000000,0.000000000117,Original,,
VA-S,0.000247000000,0.595000000000,0.005000000000,Original,,
VA-GS,0.000797000000,0.278000000000,0.115000000000,Original,,
VA-SS,0.005000000000,0.629000000000,0.448000000000,Original,,
CA,0.000000000078,0.717000000000,0.075000000000,Imputed,,
CA-G,0.036000000000,0.037000000000,0.676000000000,Imputed,,
CA-S,0.036000000000,0.323000000000,0.629000000000,Imputed,,
TOTAL CA,0.000000108000,0.060000000000,0.381000000000,Imputed,,
DHPAA,0.000000394000,0.006000000000,0.912000000000,Imputed,,
DPHAA-G,0.000000209000,0.048000000000,0.000034200000,Imputed,,
DHPAA-GG,0.000000081400,0.829000000000,0.000014900000,Imputed,,
DPHAA-GS,0.000025700000,0.021000000000,0.003000000000,Imputed,,
DHPAA-SS,0.676000000000,0.641000000000,0.985000000000,Imputed,,
Total DHPAA,0.000000000003,0.003000000000,0.080000000000,Imputed,,
TFA-Gluc,0.056000000000,0.613000000000,0.576000000000,Imputed,,
TFA-Sulfate,0.072000000000,0.308000000000,0.708000000000,Imputed,,
Total TFA,0.053000000000,0.324000000000,0.834000000000,Imputed,,
VA,0.000000000001,0.126000000000,0.048000000000,Imputed,,
VA-GG,0.000000000000,0.779000000000,0.000000000134,Imputed,,
VA-S,0.000010600000,0.209000000000,0.013000000000,Imputed,,
VA-GS,0.000461000000,0.344000000000,0.094000000000,Imputed,,
VA-SS,0.000146000000,0.793000000000,0.454000000000,Imputed,,
Total VA,0.000000000000,0.834000000000,0.000000000002,Imputed,,
