,KNN.ROC,KNN.Sens,KNN.Spec,KNN.ROCSD,KNN.SensSD,KNN.SpecSD,RF.ROC,RF.Sens,RF.Spec,RF.ROCSD,RF.SensSD,RF.SpecSD,XGBoost.ROC,XGBoost.Sens,XGBoost.Spec,XGBoost.ROCSD,XGBoost.SensSD,XGBoost.SpecSD,NNet.ROC,NNet.Sens,NNet.Spec,NNet.ROCSD,NNet.SensSD,NNet.SpecSD
MICE,0.562974026,0.958095238,0.076666667,0.088463563,0.052840202,0.087251935,0.671601732,0.748571429,0.533939394,0.12109797,0.121761513,0.130215275,0.679709957,0.714444444,0.550606061,0.083970974,0.128759719,0.142198737,0.626656566,0.798730159,0.348181818,0.120218052,0.129543448,0.12850168
Soft,0.532061328,0.926825397,0.120909091,0.142398115,0.082558995,0.089205032,0.65087013,0.762380952,0.50030303,0.121731759,0.127164042,0.138499127,0.658203463,0.711428571,0.532121212,0.086209213,0.118982577,0.141597234,0.586500722,0.754603175,0.354848485,0.119478647,0.121035833,0.133682809
Full,0.537401876,0.894761905,0.11030303,0.088286502,0.08233011,0.115849504,0.669935786,0.774603175,0.527878788,0.112818393,0.125243267,0.133841532,0.654854257,0.733492063,0.528484848,0.083361406,0.111434629,0.118356113,0.598486291,0.763015873,0.375757576,0.130508886,0.132259831,0.140761543
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,KNN.ROC,RF.ROC,XGBoost.ROC,NNet.ROC,,,,,,,,,,,,,,,,,,,,
MICE,0.562974026,0.671601732,0.679709957,0.626656566,,,,,,,,,,,,,,,,,,,,
Soft,0.532061328,0.65087013,0.658203463,0.586500722,,,,,,,,,,,,,,,,,,,,
Full,0.537401876,0.669935786,0.654854257,0.598486291,,,,,,,,,,,,,,,,,,,,
